Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Boubacar Kamara,4.0,18.0,1.0,360.0,0.4,0.1
Ezri Konsa,1.0,8.0,2.0,360.0,0.0,0.0
Matty Cash,7.0,9.0,9.0,356.0,2.2,0.55
Lucas Digne,5.0,10.0,37.0,350.0,0.8,0.21
John McGinn,5.0,21.0,14.0,333.0,1.1,0.29
Ollie Watkins,5.0,3.0,18.0,320.0,3.1,0.86
Moussa Diaby,12.0,12.0,21.0,311.0,2.3,0.67
Douglas Luiz,7.0,21.0,6.0,309.0,0.6,0.16
Pau Torres,4.0,10.0,1.0,330.0,0.0,0.01
Emiliano Martínez,0.0,0.0,0.0,270.0,0.0,0.0
Diego Carlos,0.0,3.0,0.0,162.0,0.4,0.21
Leon Bailey,9.0,3.0,12.0,153.0,1.0,0.57
Youri Tielemans,1.0,7.0,3.0,97.0,0.1,0.07
Jhon Durán,4.0,1.0,3.0,40.0,0.6,1.45
